parlhand.person.phid,parlhand.chamber.title,parlhand.electorate.label,_state,start_reason,start_date,end_date,_end_event,end_reason
"JUR",Member,Parkes,NSW,1929-HOR,1929-10-12,1930-12-19,1931-BY1-PARKES,Resigned
"JUS",Member,Groom,QLD,1984-HOR,1984-12-01,1988-02-29,1988-BY3-GROOM,Resigned
"JUV",Member,Franklin,TAS,1928-HOR,1928-11-17,1929-10-22,1929-BY2-FRANKLIN,Died
"4T4",Member,Banks,NSW,1990-HOR,1990-03-24,2013-09-07,2013-HOR,Defeated
"KUJ",Senator,Victoria,VIC,1974-SEN,1974-05-18,1981-06-30,1980-SEN,Defeated
"N76",Member,Kooyong,VIC,1934-HOR,1934-09-15,1966-02-17,1966-BY2-KOOYONG,Resigned
"9I4",Senator,South Australia,SA,1975-SEN,1975-12-13,1990-04-17,1990-CASUAL5-SA,Resigned
"AI4",Member,Ballarat (was Ballaarat),VIC,1980-HOR,1980-10-18,1990-03-24,1990-HOR,Defeated
"BI4",Member,Braddon,TAS,1984-HOR,1984-12-01,1998-10-03,1998-HOR,Defeated
"CI4",Member,Wide Bay,QLD,1974-HOR,1974-05-18,1990-02-19,1990-HOR,Retired
"KUL",Senator,New South Wales,NSW,1901-SEN1,1901-03-29,1923-09-14,1923-CASUAL2-NSW,Died
"KUP",Senator,Tasmania,TAS,1919-SEN,1920-07-01,1938-06-30,1937-SEN,Defeated
"KUS",Senator,Queensland,QLD,1967-SEN,1968-07-01,1975-06-30,1975-CASUAL2-QLD,Died
"KA5",Senator,Tasmania,TAS,2004-SEN,2005-07-01,,,
"DI4",Member,La Trobe,VIC,1980-HOR,1980-10-18,1990-03-24,1990-HOR,Defeated
"JX4",Senator,South Australia,SA,1993-SEN,1993-07-01,2011-06-30,2010-SEN,Retired
"JUX",Member,West Sydney,NSW,1949-HOR,1949-12-10,1969-09-29,1969-HOR,Abolished at Redistribution (Retired)
"00AMU",Member,Indi,VIC,2001-HOR,2001-11-10,2013-09-07,2013-HOR,Defeated
"KUU",Senator,Victoria,VIC,1974-SEN,1974-05-18,1986-03-30,1986-CASUAL2-VIC,Died
"M3E",Member,McEwen,VIC,2010-HOR,2010-08-21,,,
"L4X",Member,Hume,NSW,1919-HOR,1919-12-13,1931-12-19,1931-HOR,Defeated
"JV8",Member,Evans,NSW,1961-HOR,1961-12-09,1963-11-30,1963-HOR,Defeated
"KUY",Senator,New South Wales,NSW,1931-CASUAL3-NSW,1931-12-23,1932-06-30,1931-SEN,Expired Retired
"00AOQ",Senator,Queensland,QLD,2001-SEN,2002-07-01,,,
"EI4",Member,Ryan,QLD,1975-HOR,1975-12-13,2001-02-05,2001-BY1-RYAN,Resigned
"JV9",Member,Darling Downs,QLD,1929-HOR,1929-10-12,1931-12-19,1931-HOR,Defeated
"JVA",Member,Reid,NSW,1949-HOR,1949-12-10,1958-11-22,1958-HOR,Defeated
"FI4",Member,Newcastle,NSW,1983-HOR,1983-03-05,2001-10-08,2001-HOR,Retired
"GI4",Senator,New South Wales,NSW,1984-SEN,1985-07-01,1990-06-30,1990-SEN,Retired
"KV9",Senator,Queensland,QLD,1963-SEN-PART,1963-11-30,1968-06-30,1967-SEN,Retired
"HI4",Member,Shortland,NSW,1972-HOR,1972-12-02,1998-08-31,1998-HOR,Retired
"E3L",Member,Cook ii,NSW,2007-HOR,2007-11-24,,,
"009DB",Member,St George,NSW,1980-HOR,1980-10-18,1984-10-26,1984-HOR,Retired
"KVB",Senator,Tasmania,TAS,1946-SEN,1947-07-01,1953-06-30,1953-SEN,Defeated
"JVB",Member,Grey,SA,1963-BY1-GREY,1963-06-01,1966-11-26,1966-HOR,Defeated
"MK6",Member,Greenway,NSW,1996-HOR,1996-03-02,2004-08-31,2004-HOR,Retired
"JVD",Member,Banks,NSW,1980-HOR,1980-10-18,1990-02-19,1990-HOR,Retired
"JVH",Member,Swan,WA,1943-HOR,1943-08-21,1946-09-28,1946-HOR,Defeated
"4V5",Member,Pearce,WA,1993-HOR,1993-03-13,2013-08-05,2013-HOR,Retired
"250024",Senator,Victoria,VIC,2013-SEN,2014-07-01,,,
"JVJ",Member,Lang,NSW,1934-HOR,1934-09-15,1953-07-13,1953-BY3-LANG,Died
"KVD",Senator,Tasmania,TAS,1919-CASUAL1-TAS,1919-01-15,1920-06-30,1919-SEN,Retired
"JVK",Member,Evans,NSW,1972-HOR,1972-12-02,1975-12-13,1975-HOR,Defeated
"KVH",Senator,Queensland,QLD,1913-SEN,1913-07-01,1917-06-30,1917-SEN,Defeated
"JVM",Member,Gellibrand,VIC,1949-HOR,1949-12-10,1955-12-10,1955-HOR,Defeated
"KVK",Senator,New South Wales,NSW,1964-SEN,1965-07-01,1983-02-04,1983-SEN,Retired
"JVO",Member,Eden-Monaro,NSW,1966-HOR,1966-11-26,1969-10-25,1969-HOR,Defeated
"83D",Member,Reid,NSW,2010-HOR,2010-08-21,2013-09-07,2013-HOR,Defeated
"1L5",Senator,New South Wales,NSW,1961-SEN,1962-07-01,1975-02-10,1975-CASUAL1-NSW,Resigned
"FX5",Senator,Tasmania,TAS,1993-SEN,1993-07-01,2005-06-30,2004-SEN,Defeated
"3M6",Senator,Western Australia,WA,1996-SEN,1996-07-01,2008-06-30,2007-SEN,Retired
"JVQ",Member,Herbert,QLD,1958-HOR,1958-11-22,1961-12-09,1961-HOR,Defeated
"JXC",Senator,Tasmania,TAS,1946-SEN,1947-07-01,1951-04-28,1951-SEN,Defeated
"NK6",Member,Cook ii,NSW,1996-HOR,1996-03-02,1998-08-31,1998-HOR,Retired
"OK6",Member,Eden-Monaro,NSW,1996-HOR,1996-03-02,2007-11-24,2007-HOR,Defeated
"JVR",Member,Perth,WA,1929-HOR,1929-10-12,1943-08-21,1943-HOR,Defeated
"JXE",Senator,Western Australia,WA,1943-SEN,1943-08-21,1951-12-12,1952-CASUAL1-WA,Died
"E5G",Senator,New South Wales,NSW,2004-SEN,2005-07-01,,,
"B36",Member,Robertson,NSW,2007-HOR,2007-11-24,2010-07-19,2010-HOR,Retired
"JXG",Senator,Victoria,VIC,1980-CASUAL1-VIC,1980-03-11,1981-06-30,1980-SEN,Defeated
"JXJ",Senator,Western Australia,WA,1922-SEN,1923-07-01,1929-06-30,1928-SEN,Defeated
"JXM",Senator,Western Australia,WA,1970-SEN,1971-07-01,1974-05-18,1974-SEN,Defeated
"AE4",Member,Cowper,NSW,1984-HOR,1984-12-01,2001-10-08,2001-HOR,Retired
"JVS",Member,St George,NSW,1975-HOR,1975-12-13,1980-10-18,1980-HOR,Defeated
"JXT",Senator,New South Wales,NSW,1901-SEN1,1901-03-29,1910-06-30,1910-SEN,Defeated
"RW5",Member,Bradfield,NSW,1996-HOR,1996-03-02,2009-10-19,2009-BY1-BRADFIELD,Resigned
"JVT",Member,Northern Territory (HoR),NT,1922-HOR,1922-12-16,1934-09-15,1934-HOR,Defeated
"JVU",Member,Northern Territory (HoR),NT,1949-HOR,1949-12-10,1966-10-31,1966-HOR,Retired
"00AOR",Senator,New South Wales,NSW,2001-SEN,2002-07-01,2008-06-30,2007-SEN,Defeated
"HVO",Member,Blair,QLD,2007-HOR,2007-11-24,,,
"KV5",Member,Hinkler,QLD,1993-HOR,1993-03-13,2013-08-05,2013-HOR,Retired
"9U4",Member,Richmond,NSW,1990-HOR,1990-03-24,1996-03-02,1996-HOR,Defeated
"JXV",Senator,South Australia,SA,1913-SEN,1913-07-01,1932-05-20,1932-DIED-NOVAC,Died
"BE4",Senator,Tasmania,TAS,1986-CASUAL1-TAS,1986-03-13,2002-02-01,2002-CASUAL1-TAS,Resigned
"JVV",Member,Bass,TAS,1975-BY1-BASS,1975-06-28,1984-10-26,1984-HOR,Retired
"K4U",Member,Bonython,SA,1963-HOR,1963-11-30,1977-09-30,1977-HOR-NOBY,Resigned
"K4W",Member,Macquarie,NSW,1917-HOR,1917-05-05,1922-12-16,1922-HOR,Defeated
"JY6",Senator,South Australia,SA,1943-SEN,1944-07-01,1968-06-30,1967-SEN,Retired
"137174",Member,Bass,TAS,2013-HOR,2013-09-07,,,
"009OD",Member,Gippsland,VIC,1961-HOR,1961-12-09,1983-02-04,1983-HOR,Retired
"K4X",Member,Riverina i,NSW,1931-HOR,1931-12-19,1940-09-21,1940-HOR,Defeated
"K4Y",Member,Australian Capital Territory (HoR),ACT,1949-HOR,1949-12-10,1951-04-28,1951-HOR,Defeated
"UT4",Member,Aston,VIC,1990-HOR,1990-03-24,2001-04-24,2001-BY2-ASTON,Died
"JZM",Senator,New South Wales,NSW,1913-SEN,1913-07-01,1914-09-05,1914-SEN,Defeated
"IYS",Member,Lyne,NSW,2008-BY2-LYNE,2008-09-06,2013-08-05,2013-HOR,Retired
"8O6",Senator,Tasmania,TAS,1996-CASUAL4-TAS,1996-09-05,2011-06-30,2010-SEN,Retired
"K4Z",Member,Petrie,QLD,1961-HOR,1961-12-09,1963-11-30,1963-HOR,Defeated
"JYA",Senator,Tasmania,TAS,1946-SEN,1947-07-01,1981-06-30,1980-SEN,Retired
"84S",Member,Bass,TAS,1998-HOR,1998-10-03,2004-10-09,2004-HOR,Defeated
"EU4",Senator,Queensland,QLD,1990-CASUAL3-QLD,1990-05-08,1999-06-30,1998-SEN,Defeated
"00AN3",Member,Gorton,VIC,2004-HOR,2004-10-09,,,
"JYD",Senator,New South Wales,NSW,1901-SEN1,1901-03-29,1903-09-27,1903-CASUAL3-NSW,Resigned
"WU5",Member,Corio,VIC,1993-HOR,1993-03-13,2007-11-24,2007-HOR,Defeated
"K58",Member,Dalley,NSW,1955-HOR,1955-12-10,1969-09-29,1969-HOR,Abolished at Redistribution (Retired)
"139441",Member,Flynn,QLD,2010-HOR,2010-08-21,,,
"LKU",Member,Higgins,VIC,2009-BY2-HIGGINS,2009-12-05,,,
"JYY",Senator,South Australia,SA,1943-SEN,1944-07-01,1962-06-30,1961-SEN,Retired
"JZR",Senator,Tasmania,TAS,1922-SEN,1923-07-01,1932-02-05,1932-CASUAL1-TAS,Died
"JZ6",Senator,South Australia,SA,1928-SEN,1928-11-17,1935-06-30,1934-SEN,Defeated
"JZ9",Member,Denison,TAS,1922-HOR,1922-12-16,1925-11-14,1925-HOR,Defeated
"K5A",Member,Paterson,NSW,1969-HOR,1969-10-25,1984-10-26,1984-HOR,Abolished at Redistribution (Retired)
"CE4",Member,Burke ii,VIC,1984-HOR,1984-12-01,2001-10-08,2001-HOR,Retired
"KM8",Member,Holt,VIC,1972-HOR,1972-12-02,1975-12-13,1975-HOR,Defeated
"KM9",Member,Hume,NSW,1972-HOR,1972-12-02,1974-05-18,1974-HOR,Defeated
"JZC",Senator,South Australia,SA,1922-SEN,1923-07-01,1925-12-04,1925-CASUAL4-SA,Died
"DU4",Senator,South Australia,SA,1990-CASUAL5-SA,1990-05-07,1992-05-04,1992-CASUAL2-SA,Resigned
"K5D",Member,Darwin,TAS,1903-HOR,1903-12-16,1917-05-05,1917-HOR,Defeated
"140590",Member,Hotham,VIC,2013-HOR,2013-09-07,,,
"DE4",Member,Grey,SA,1983-HOR,1983-03-05,1993-02-08,1993-HOR,Retired
"140651",Senator,New South Wales,NSW,2014-CASUAL1-NSW,2014-07-02,,,
"KMB",Member,Corio,VIC,1949-HOR,1949-12-10,1967-06-10,1967-BY1-CORIO,Resigned
"KMC",Member,Nepean,NSW,1913-HOR,1913-05-31,1919-11-03,1919-HOR,Retired
"BNL",Member,Cunningham,NSW,2002-BY1-CUNNINGHAM,2002-10-19,2004-10-09,2004-HOR,Defeated
"JZU",Senator,New South Wales,NSW,1958-SEN,1959-07-01,1970-11-30,1971-CASUAL1-NSW,Died
"KMD",Member,Evans,NSW,1949-HOR,1949-12-10,1961-12-09,1961-HOR,Defeated
"247871",Senator,Queensland,QLD,2013-CASUAL2-QLD,2014-02-11,,,
"JZI",Senator,Queensland,QLD,1946-SEN,1947-07-01,1962-06-30,1961-SEN,Retired
"E09",Member,Parramatta,NSW,2004-HOR,2004-10-09,,,
"KXN",Member,Corio,VIC,1914-HOR,1914-09-05,1917-05-05,1917-HOR,Defeated
"C7E",Member,Cowper,NSW,1919-HOR,1919-12-13,1961-12-09,1961-HOR,Defeated
"KXO",Member,Maranoa,QLD,1901-HOR2,1901-03-30,1921-06-03,1921-BY1-MARANOA,Died
"KXP",Member,Echuca,VIC,1907-BY1-ECHUCA,1907-07-10,1919-08-14,1919-BY1-ECHUCA,Died
"LQR",Member,Fairfax,QLD,2013-HOR,2013-09-07,,,
"JZY",Senator,Western Australia,WA,1951-SEN,1951-04-28,1966-01-21,1966-CASUAL1-WA,Died
"JI4",Senator,Western Australia,WA,1987-SEN,1987-07-11,1997-01-31,1997-CASUAL1-WA,Died
"KI4",Senator,Queensland,QLD,1984-CASUAL1-QLD,1984-11-22,2000-02-11,2000-CASUAL1-QLD,Resigned
"HWR",Member,Fremantle,WA,2007-HOR,2007-11-24,,,
"KXQ",Member,Warringah,NSW,1927-BY2-WARRINGAH,1927-05-21,1937-10-23,1937-HOR,Defeated
"E5V",Senator,Tasmania,TAS,2004-SEN,2005-07-01,,,
"KXR",Member,Angas i,SA,1925-HOR,1925-11-14,1929-10-12,1929-HOR,Defeated
"240756",Member,Barker,SA,2013-HOR,2013-09-07,,,
"KXS",Member,Capricornia,QLD,1901-HOR2,1901-03-30,1903-11-23,1903-HOR,Retired
"KXT",Member,Gippsland,VIC,1922-HOR,1922-12-16,1943-07-07,1943-HOR,Retired
"KXU",Member,Hume,NSW,1913-HOR,1913-05-31,1917-03-26,1917-HOR,Retired
"LI4",Senator,Victoria,VIC,1987-SEN,1987-07-11,2008-06-30,2007-SEN,Retired
"KXV",Member,Dawson,QLD,1966-BY1-DAWSON,1966-02-26,1975-12-13,1975-HOR,Defeated
"K09",Senator,Tasmania,TAS,1919-SEN,1920-07-01,1938-06-30,1937-SEN,Defeated
"M56",Senator,New South Wales,NSW,1997-CASUAL2-NSW,1997-04-09,,,
"MI4",Member,Kooyong,VIC,1966-BY2-KOOYONG,1966-04-02,1994-09-17,1994-BY6-KOOYONG,Resigned
"A8W",Member,Aston,VIC,2001-BY2-ASTON,2001-07-14,2010-07-19,2010-HOR,Retired
"K0F",Senator,Western Australia,WA,1901-SEN1,1901-03-29,1938-06-30,1937-SEN,Defeated
"KXW",Member,Capricornia,QLD,1949-HOR,1949-12-10,1961-12-09,1961-HOR,Defeated
"KXX",Member,Franklin,TAS,1966-HOR,1966-11-26,1969-10-25,1969-HOR,Defeated
"K0L",Senator,South Australia,SA,1951-SEN,1951-04-28,1961-09-11,1961-CASUAL1-SA,Died
"CDK",Senator,Northern Territory,NT,2013-SEN,2013-09-07,,,
"KXY",Member,Eden-Monaro,NSW,1931-HOR,1931-12-19,1943-08-21,1943-HOR,Defeated
"HVP",Member,Moreton,QLD,2007-HOR,2007-11-24,,,
"KXZ",Member,Scullin i,VIC,1955-HOR,1955-12-10,1969-09-29,1969-HOR,Abolished at Redistribution (retired)
"KY7",Member,Hume,NSW,1963-HOR,1963-11-30,1972-12-02,1972-HOR,Defeated
"KY8",Member,Wimmera,VIC,1901-HOR1,1901-03-29,1906-11-05,1906-HOR,Retired
"K0Q",Senator,Western Australia,WA,1949-SEN,1949-12-10,1952-08-25,1952-CASUAL2-WA,Died
"KY9",Member,Tasmania (HoR),TAS,1901-HOR1,1901-03-29,1902-03-06,1902-BY1-TASMANIA,Died
"KYA",Member,Calare,NSW,1913-HOR,1913-05-31,1919-12-13,1919-HOR,Defeated
"148150",Member,Hinkler,QLD,2013-HOR,2013-09-07,,,
"KYB",Member,Ballaarat (now Ballarat),VIC,1949-HOR,1949-12-10,1951-04-28,1951-HOR,Defeated
"K0S",Senator,Victoria,VIC,1925-CASUAL3-VIC,1925-08-25,1938-06-30,1937-SEN,Defeated
"K0X",Senator,South Australia,SA,1901-SEN2,1901-03-30,1906-12-31,1906-SEN,Defeated
"83M",Member,Sydney,NSW,1998-HOR,1998-10-03,,,
"K19",Senator,Tasmania,TAS,1955-SEN,1956-07-01,1974-04-11,1974-SEN,Retired
"KYC",Member,Lalor,VIC,1949-HOR,1949-12-10,1966-11-26,1966-HOR,Defeated
"E5X",Senator,Tasmania,TAS,2004-SEN,2005-07-01,,,
"208884",Member,Pearce,WA,2013-HOR,2013-09-07,,,
"NI4",Member,Barker,SA,1975-HOR,1975-12-13,1990-02-19,1990-HOR,Retired
"K1B",Senator,Queensland,QLD,1961-SEN,1962-07-01,1962-09-02,1962-CASUAL2-QLD,Died
"OI4",Senator,Victoria,VIC,1986-CASUAL3-VIC,1986-08-26,1993-06-30,1993-SEN,Defeated
"K1D",Senator,New South Wales,NSW,1924-CASUAL2-NSW,1924-11-20,1925-01-13,1925-CASUAL1-NSW,Died
"KYD",Member,Grey,SA,1903-HOR,1903-12-16,1922-12-16,1922-HOR,Defeated
"K1F",Senator,Victoria,VIC,1966-CASUAL3-VIC,1966-10-26,1975-11-11,1975-SEN,Retired
"I0T",Senator,Western Australia,WA,2007-SEN,2008-07-01,2014-06-30,2013-SEN,Defeated
"PI4",Member,Adelaide,SA,1988-BY1-ADELAIDE,1988-02-06,1990-03-24,1990-HOR,Defeated
"KYE",Member,Martin,NSW,1928-BY1-MARTIN,1928-06-16,1929-10-12,1929-HOR,Defeated
"K1J",Member,Martin,NSW,1922-HOR,1922-12-16,1928-05-07,1928-BY1-MARTIN,Died
"217266",Member,Ryan,QLD,2010-HOR,2010-08-21,,,
"KYG",Member,Boothby,SA,1941-BY1-BOOTHBY,1941-05-24,1943-08-21,1943-HOR,Defeated
"KYH",Member,Boothby,SA,1928-HOR,1928-11-17,1941-04-23,1941-BY1-BOOTHBY,Died
"QI4",Member,Chifley,NSW,1984-HOR,1984-12-01,2010-07-19,2010-HOR,Retired
"249308",Member,Durack,WA,2013-HOR,2013-09-07,,,
"K1M",Senator,Victoria,VIC,1970-SEN,1971-07-01,1985-06-30,1984-SEN,Retired
"RI4",Member,Forrest,WA,1987-HOR,1987-07-11,2007-10-17,2007-HOR,Retired
"K1R",Senator,Western Australia,WA,1961-SEN,1962-07-01,1973-12-31,1974-CASUAL1-WA,Resigned
"KYI",Member,Forrest,WA,1922-HOR,1922-12-16,1943-08-21,1943-HOR,Defeated
"K1U",Senator,New South Wales,NSW,1901-SEN1,1901-03-29,1910-06-30,1910-SEN,Defeated
"SI4",Member,Barton,NSW,1983-HOR,1983-03-05,1996-01-29,1996-HOR,Retired
"TI4",Senator,New South Wales,NSW,1984-SEN,1984-12-01,1990-06-30,1990-SEN,Defeated
"9V5",Member,Sturt,SA,1993-HOR,1993-03-13,,,
"AV5",Member,Franklin,TAS,1993-HOR,1993-03-13,2007-10-17,2007-HOR,Retired
"KYJ",Member,Bendigo,VIC,1901-HOR1,1901-03-29,1913-05-31,1913-HOR,Defeated
"ZS6",Senator,South Australia,SA,1997-CASUAL5-SA,1997-09-18,2000-08-15,2000-CASUAL3-SA,Resigned
"K1Z",Senator,New South Wales,NSW,1928-SEN,1929-07-01,1935-06-30,1934-SEN,Defeated
"CAK",Senator,Tasmania,TAS,1967-SEN,1968-07-01,1986-01-16,1986-CASUAL1-TAS,Resigned
"HVQ",Member,Forde,QLD,2007-HOR,2007-11-24,2010-08-21,2010-HOR,Defeated
"HWS",Member,Grey,SA,2007-HOR,2007-11-24,,,
"PK6",Member,Canning,WA,2001-HOR,2001-11-10,2015-07-21,2015-BY1-CANNING,Died
"K28",Senator,Queensland,QLD,1946-SEN,1947-07-01,1971-05-24,1971-CASUAL2-QLD,Resigned
"K2A",Senator,Victoria,VIC,1949-SEN,1949-12-10,1956-06-30,1955-SEN,Retired
"UI4",Senator,Victoria,VIC,1980-SEN,1981-07-01,2008-05-05,2008-CASUAL1-VIC,Resigned
"HVR",Member,Bonner,QLD,2007-HOR,2007-11-24,2010-08-21,2010-HOR,Defeated
"K2D",Senator,Tasmania,TAS,1910-SEN,1910-07-01,1917-03-01,1917-CASUAL1-TAS,Resigned
"KYP",Member,Northern Territory (HoR),NT,1983-HOR,1983-03-05,1984-12-01,1984-HOR,Defeated
"K2G",Senator,New South Wales,NSW,1949-SEN,1949-12-10,1962-05-22,1962-DIED-NOVAC,Died
"K2J",Senator,Western Australia,WA,1974-CASUAL1-WA,1974-01-16,1974-05-18,1974-SEN,Expired Defeated
"F4P",Member,East Sydney,NSW,1903-BY1-EASTSYDNEY,1903-09-04,1909-12-24,1910-HOR-NOBY,Resigned
"KYQ",Member,Holt,VIC,1969-HOR,1969-10-25,1972-12-02,1972-HOR,Defeated
"VI4",Senator,Australian Capital Territory,ACT,1981-CASUAL3-ACT,1981-05-05,2003-02-14,2003-CASUAL1-ACT,Resigned
"K2L",Senator,Queensland,QLD,1917-SEN,1917-07-01,1935-06-30,1934-SEN,Retired
"VT4",Member,Bendigo,VIC,1990-HOR,1990-03-24,1998-08-31,1998-HOR,Retired
"K2Q",Senator,Victoria,VIC,1903-CASUAL1-VIC,1903-01-21,1903-12-31,1903-SEN,Expired Retired
"WI4",Member,Flinders,VIC,1984-HOR,1984-12-01,2001-10-08,2001-HOR,Retired
"KYS",Member,Barton,NSW,1969-HOR,1969-10-25,1975-11-11,1975-HOR,Retired
"250216",Senator,Western Australia,WA,2013-SEN,2014-07-01,,,
"XI4",Senator,Queensland,QLD,1983-SEN,1983-03-05,1999-06-30,1998-SEN,Retired
"CPR",Senator,New South Wales,NSW,2010-SEN,2011-07-01,,,
"155410",Senator,Victoria,VIC,2013-SEN,2014-07-01,,,
"4E4",Senator,New South Wales,NSW,1983-SEN,1983-03-05,1994-03-25,1994-CASUAL4-NSW,Resigned
"E0B",Member,Kingston,SA,2004-HOR,2004-10-09,2007-11-24,2007-HOR,Defeated
"KYU",Member,Tangney,WA,1975-HOR,1975-12-13,1977-11-10,1977-HOR,Retired
"8G6",Senator,New South Wales,NSW,1998-SEN,1999-07-01,2005-06-30,2004-SEN,Defeated
"K2N",Senator,South Australia,SA,1958-SEN,1959-07-01,1971-06-30,1970-SEN,Retired
"WT4",Member,McMillan,VIC,1990-HOR,1990-03-24,1993-03-13,1993-HOR,Defeated
"KYV",Member,South Sydney,NSW,1910-HOR,1910-04-13,1931-12-19,1931-HOR,Defeated
"KYX",Member,Cook i,NSW,1922-HOR,1922-12-16,1934-09-15,1934-HOR,Defeated
"KZ9",Member,Kennedy,QLD,1936-BY1-KENNEDY,1936-12-12,1966-10-31,1966-HOR,Retired
"KYZ",Member,Kennedy,QLD,1929-HOR,1929-10-12,1936-10-15,1936-BY1-KENNEDY,Died
"KZ7",Member,Phillip,NSW,1972-HOR,1972-12-02,1975-12-13,1975-HOR,Defeated
"83E",Member,Oxley,QLD,1998-HOR,1998-10-03,,,
"HWA",Member,Kingston,SA,2007-HOR,2007-11-24,,,
"FU4",Member,Goldstein,VIC,2004-HOR,2004-10-09,,,
"HWT",Member,Fadden,QLD,2007-HOR,2007-11-24,,,
"KZE",Member,Riverina i,NSW,1949-HOR,1949-12-10,1965-01-21,1965-BY1-RIVERINA,Resigned
"KZG",Member,Adelaide,SA,1908-BY1-ADELAIDE,1908-06-13,1913-12-02,1914-BY1-ADELAIDE,Died
"K2S",Senator,Western Australia,WA,1949-SEN,1949-12-10,1962-06-30,1961-SEN,Retired
"K2U",Senator,Northern Territory,NT,1975-SEN,1975-12-13,1987-06-05,1987-SEN,Retired
"K2X",Senator,South Australia,SA,1928-CASUAL1-SA,1928-04-18,1928-11-16,1928-SEN,Expired Defeated
"KZH",Member,Wannon,VIC,1903-HOR,1903-12-16,1906-12-12,1906-HOR,Defeated
"K37",Senator,Western Australia,WA,1952-CASUAL2-WA,1952-09-30,1953-05-08,1953-SEN,Expired Defeated
"KZL",Member,McPherson,QLD,1972-HOR,1972-12-02,1981-01-07,1981-BY3-MCPHERSON,Died
"YI4",Member,Page,NSW,1984-HOR,1984-12-01,1990-03-24,1990-HOR,Defeated
"ZI4",Member,Curtin,WA,1981-BY2-CURTIN,1981-02-21,1998-10-03,1998-HOR,Defeated
"KZT",Member,Wannon,VIC,1925-HOR,1925-11-14,1929-10-12,1929-HOR,Defeated
"KZV",Member,Southern Melbourne,VIC,1901-HOR1,1901-03-29,1906-12-12,1906-HOR,Abolished at Redistribution (to Melbourne Ports - Defeated)
"XT4",Senator,Victoria,VIC,2004-SEN,2005-07-01,,,
"L08",Member,Dalley,NSW,1931-HOR,1931-12-19,1953-03-21,1953-BY1-DALLEY,Died
"L0B",Member,Parramatta,NSW,1929-HOR,1929-10-12,1931-12-19,1931-HOR,Defeated
"K3B",Senator,South Australia,SA,1917-CASUAL2-SA,1917-05-24,1923-06-30,1922-SEN,Defeated
"159771",Member,Greenway,NSW,2010-HOR,2010-08-21,,,
"83K",Member,Gellibrand,VIC,1998-HOR,1998-10-03,2013-08-05,2013-HOR,Retired
"M2X",Member,Longman,QLD,2010-HOR,2010-08-21,,,
"83T",Member,Griffith,QLD,1998-HOR,1998-10-03,2013-11-22,2014-BY1-GRIFFITH,Resigned
"0J4",Member,Berowra,NSW,1993-HOR,1993-03-13,,,
"L0D",Member,Maranoa,QLD,1949-HOR,1949-12-10,1951-04-28,1951-HOR,Defeated
"L0F",Member,Grey,SA,1943-HOR,1943-08-21,1963-03-31,1963-BY1-GREY,Died
"K3E",Senator,Victoria,VIC,1906-SEN,1907-01-01,1925-07-18,1925-CASUAL3-VIC,Died
"K3G",Senator,South Australia,SA,1906-SEN,1907-01-01,1912-06-28,1912-CASUAL1-SA,Died
"243273",Senator,South Australia,SA,2012-CASUAL5-SA,2012-09-05,,,
"249224",Member,Lalor,VIC,2013-HOR,2013-09-07,,,
"K3I",Senator,South Australia,SA,1949-SEN,1949-12-10,1959-06-30,1958-SEN,Retired
"L0G",Member,Flinders,VIC,1940-HOR,1940-09-21,1952-08-26,1952-BY2-FLINDERS,Died
"I0Q",Senator,Victoria,VIC,2007-SEN,2008-07-01,,,
"GD5",Senator,Australian Capital Territory,ACT,1975-SEN,1975-12-13,1988-01-29,1988-CASUAL1-ACT,Resigned
"L0H",Member,West Sydney,NSW,1919-HOR,1919-12-13,1921-08-01,1921-BY2-WESTSYDNEY,Died
"L0I",Member,Warringah,NSW,1922-HOR,1922-12-16,1927-04-13,1927-BY2-WARRINGAH,Resigned
"HVY",Member,Page,NSW,2007-HOR,2007-11-24,2013-09-07,2013-HOR,Defeated
"L0J",Member,Eden-Monaro,NSW,1975-HOR,1975-12-13,1983-03-05,1983-HOR,Defeated
"L0K",Member,Grampians,VIC,1915-BY2-GRAMPIANS,1915-02-20,1917-09-15,1917-BY2-GRAMPIANS,Died
"K3L",Senator,Tasmania,TAS,1940-SEN,1941-07-01,1947-06-30,1946-SEN,Defeated
"L0P",Member,Wimmera,VIC,1906-HOR,1906-12-12,1919-12-13,1919-HOR,Defeated
"1J4",Senator,Tasmania,TAS,1984-SEN,1985-07-01,1990-03-01,1990-CASUAL4-TAS,Resigned
"K4S",Senator,Victoria,VIC,1957-CASUAL1-VIC,1957-06-06,1966-10-22,1966-CASUAL3-VIC,Died
"BOT",Senator,Queensland,QLD,2002-CASUAL3-QLD,2002-10-29,2007-04-11,2007-CASUAL2-QLD,Resigned
"K54",Senator,Victoria,VIC,1901-SEN1,1901-03-29,1903-01-02,1903-CASUAL1-VIC,Died
"K5B",Senator,Western Australia,WA,1903-CASUAL2-WA,1903-05-20,1903-12-31,1903-SEN,Expired Defeated
"2J4",Member,Aston,VIC,1984-HOR,1984-12-01,1990-03-24,1990-HOR,Defeated
"KPX",Member,New England,NSW,1901-HOR1,1901-03-29,1903-12-16,1903-HOR,Defeated
"3J4",Member,Port Adelaide,SA,1988-BY2-PORTADELAIDE,1988-03-26,2007-10-17,2007-HOR,Retired
"K5F",Senator,Queensland,QLD,1906-SEN,1907-01-01,1913-06-30,1913-SEN,Defeated
